epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7281,0.70455,1.8442,1.00906,0.8645,0.49615,0.66018,0.55857,0.66005,1.96338,0.91171,0.000549052,0.000549052,0.000549052
2,107.066,0.71757,1.17728,0.98254,0.81143,0.77452,0.83719,0.68708,0.67294,1.01578,0.91338,0.00109378,0.00109378,0.00109378
3,160.006,0.74718,1.03835,1.00338,0.82293,0.76993,0.8158,0.66482,0.70393,1.25917,0.92529,0.00162751,0.00162751,0.00162751
4,212.128,0.73528,0.90689,0.98317,0.82016,0.64273,0.75474,0.61549,0.7053,1.16586,0.92794,0.00161749,0.00161749,0.00161749
5,263.168,0.69379,0.79791,0.96988,0.86083,0.8391,0.88002,0.71921,0.65556,0.77367,0.8975,0.00160099,0.00160099,0.00160099
6,316.231,0.69009,0.72932,0.96063,0.91852,0.85965,0.90961,0.77219,0.57944,0.60595,0.88089,0.00158448,0.00158448,0.00158448
7,368.081,0.63679,0.65077,0.94814,0.92945,0.83686,0.90186,0.74574,0.59295,0.63466,0.88059,0.00156798,0.00156798,0.00156798
8,420.852,0.62209,0.61102,0.95518,0.90253,0.88492,0.9187,0.76707,0.56769,0.56441,0.87272,0.00155148,0.00155148,0.00155148
9,472.601,0.59994,0.57393,0.92648,0.88888,0.80118,0.87891,0.75177,0.54902,0.75804,0.87801,0.00153497,0.00153497,0.00153497
10,524.508,0.58669,0.54113,0.94386,0.92171,0.89482,0.92971,0.7861,0.52289,0.50534,0.85657,0.00151847,0.00151847,0.00151847
11,578.284,0.59124,0.54166,0.94423,0.88111,0.85383,0.90505,0.7738,0.53545,0.87086,0.86915,0.00150197,0.00150197,0.00150197
12,630.666,0.58982,0.52461,0.92688,0.93414,0.89921,0.94381,0.81722,0.50919,0.48156,0.85625,0.00148546,0.00148546,0.00148546
13,684.016,0.59329,0.51314,0.93468,0.93466,0.87724,0.9427,0.79696,0.53518,0.47852,0.86793,0.00146896,0.00146896,0.00146896
14,735.652,0.58204,0.51113,0.93106,0.94831,0.90072,0.95388,0.82503,0.49534,0.40908,0.8387,0.00145246,0.00145246,0.00145246
15,789.658,0.55621,0.48084,0.93149,0.93523,0.88304,0.94272,0.81778,0.50943,0.44107,0.8529,0.00143595,0.00143595,0.00143595
16,841.672,0.53453,0.4748,0.91632,0.92738,0.91144,0.94459,0.82169,0.50009,0.42396,0.85603,0.00141945,0.00141945,0.00141945
17,894.236,0.53743,0.47786,0.91728,0.91878,0.91546,0.94834,0.82593,0.51199,0.41592,0.85706,0.00140295,0.00140295,0.00140295
18,948.024,0.54822,0.47382,0.9277,0.94874,0.91345,0.96207,0.82962,0.50325,0.42669,0.84868,0.00138644,0.00138644,0.00138644
19,1000.83,0.54389,0.46617,0.91507,0.9273,0.94012,0.96306,0.84142,0.48018,0.37011,0.84294,0.00136994,0.00136994,0.00136994
20,1053.76,0.50424,0.42295,0.90532,0.90152,0.90421,0.94896,0.81912,0.50118,0.41513,0.84754,0.00135344,0.00135344,0.00135344
21,1105.95,0.50159,0.44431,0.91446,0.95645,0.9034,0.95854,0.83904,0.47656,0.38636,0.8405,0.00133693,0.00133693,0.00133693
22,1158.07,0.49721,0.41481,0.90688,0.9247,0.92367,0.96382,0.84928,0.45086,0.36738,0.82568,0.00132043,0.00132043,0.00132043
23,1210.89,0.52836,0.43496,0.90914,0.88769,0.9089,0.94343,0.83165,0.47094,0.43737,0.83572,0.00130393,0.00130393,0.00130393
24,1262.87,0.50796,0.43422,0.90448,0.92892,0.93515,0.95939,0.85269,0.45664,0.36811,0.84256,0.00128742,0.00128742,0.00128742
25,1315.39,0.52243,0.43421,0.91275,0.94916,0.91986,0.96655,0.84023,0.46757,0.36441,0.83651,0.00127092,0.00127092,0.00127092
26,1367.34,0.48388,0.41186,0.89492,0.94818,0.92403,0.95641,0.83456,0.47289,0.38186,0.85053,0.00125442,0.00125442,0.00125442
27,1420.29,0.50706,0.41033,0.90631,0.92923,0.93454,0.96608,0.85126,0.4409,0.35077,0.8223,0.00123791,0.00123791,0.00123791
28,1471.93,0.50453,0.40876,0.8959,0.93089,0.95035,0.96783,0.85668,0.4347,0.33983,0.82267,0.00122141,0.00122141,0.00122141
29,1524.02,0.49607,0.40077,0.89578,0.94723,0.90511,0.95593,0.84543,0.46537,0.39301,0.83934,0.00120491,0.00120491,0.00120491
30,1576.54,0.48851,0.40585,0.90241,0.94934,0.92519,0.95929,0.8527,0.44421,0.35607,0.8355,0.0011884,0.0011884,0.0011884
31,1629.27,0.49388,0.40251,0.90533,0.96963,0.91626,0.96234,0.8527,0.46456,0.34466,0.83907,0.0011719,0.0011719,0.0011719
32,1680.86,0.45976,0.38422,0.87895,0.94834,0.9194,0.96802,0.83328,0.44459,0.3503,0.82868,0.0011554,0.0011554,0.0011554
33,1732.75,0.4533,0.36537,0.8812,0.96786,0.92163,0.96533,0.86573,0.4152,0.31951,0.82241,0.00113889,0.00113889,0.00113889
34,1785.97,0.46159,0.37322,0.89065,0.90283,0.89942,0.92286,0.82494,0.41269,0.4605,0.82456,0.00112239,0.00112239,0.00112239
