epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.3612,0.64774,1.31216,0.99724,0.85802,0.74261,0.81198,0.64799,0.66476,0.94441,0.90534,0.000549052,0.000549052,0.000549052
2,108.686,0.70594,0.76444,0.99975,0.71489,0.72323,0.74963,0.60843,0.70678,1.7431,0.96111,0.00109378,0.00109378,0.00109378
3,158.467,0.76292,0.78841,1.03926,0.75986,0.71254,0.74955,0.60147,0.7598,1.5169,1.00964,0.00162751,0.00162751,0.00162751
4,211.315,0.75822,0.73044,1.01771,0.83648,0.79062,0.85591,0.71216,0.65551,1.06127,0.94017,0.00161749,0.00161749,0.00161749
5,261.244,0.71514,0.67617,1.00199,0.77856,0.77523,0.84505,0.70489,0.66277,1.3236,0.93032,0.00160099,0.00160099,0.00160099
6,314.367,0.69016,0.624,0.97978,0.80376,0.8285,0.86691,0.72593,0.61052,0.8524,0.90393,0.00158448,0.00158448,0.00158448
7,365.271,0.65595,0.62273,0.97489,0.84845,0.72677,0.81589,0.67783,0.63199,0.86699,0.92269,0.00156798,0.00156798,0.00156798
8,416.231,0.62381,0.57655,0.97189,0.92043,0.84111,0.92521,0.79584,0.5523,0.64533,0.88545,0.00155148,0.00155148,0.00155148
9,466.07,0.60771,0.54381,0.94323,0.88967,0.83629,0.89804,0.7553,0.5901,0.61928,0.89768,0.00153497,0.00153497,0.00153497
10,517.878,0.58432,0.50934,0.95683,0.94133,0.8608,0.92192,0.79884,0.53111,0.50139,0.86895,0.00151847,0.00151847,0.00151847
11,567.81,0.59051,0.52534,0.95809,0.88264,0.81362,0.87509,0.75771,0.54491,0.59798,0.87306,0.00150197,0.00150197,0.00150197
12,621.126,0.58927,0.51264,0.94411,0.93375,0.91533,0.94941,0.81602,0.51195,0.42743,0.86305,0.00148546,0.00148546,0.00148546
13,673.971,0.59354,0.49475,0.95559,0.93688,0.92671,0.95362,0.83056,0.48994,0.41602,0.85634,0.00146896,0.00146896,0.00146896
14,726.039,0.56534,0.48888,0.94064,0.95201,0.91916,0.95015,0.83276,0.49215,0.40416,0.8577,0.00145246,0.00145246,0.00145246
15,776.011,0.54199,0.45927,0.93541,0.91998,0.91937,0.94926,0.83229,0.47334,0.44303,0.83954,0.00143595,0.00143595,0.00143595
16,825.522,0.51999,0.4408,0.91965,0.9444,0.92364,0.95643,0.84169,0.46538,0.41457,0.84898,0.00141945,0.00141945,0.00141945
17,874.214,0.52242,0.45693,0.92731,0.92884,0.9113,0.94682,0.82998,0.47343,0.41417,0.84901,0.00140295,0.00140295,0.00140295
18,924.127,0.5265,0.45515,0.9303,0.95258,0.90911,0.96572,0.85012,0.47536,0.39774,0.84486,0.00138644,0.00138644,0.00138644
19,974.419,0.54006,0.44304,0.92438,0.94912,0.92296,0.96035,0.84726,0.45881,0.39117,0.83666,0.00136994,0.00136994,0.00136994
20,1022.93,0.48069,0.3966,0.90531,0.93137,0.92161,0.9563,0.83946,0.44662,0.39226,0.83565,0.00135344,0.00135344,0.00135344
21,1072.1,0.47688,0.39201,0.91448,0.95265,0.91708,0.96478,0.85765,0.45181,0.3599,0.8351,0.00133693,0.00133693,0.00133693
