epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,427.416,1.07533,1.2675,1.22386,0.91401,0.81642,0.90694,0.64281,0.86644,0.64887,1.07348,0.00332514,0.00332514,0.00332514
2,841.402,1.07569,0.82548,1.21014,0.86708,0.8309,0.88549,0.60906,0.96736,0.69167,1.14592,0.00659256,0.00659256,0.00659256
3,1248.44,1.12681,0.93564,1.25112,0.69314,0.6592,0.68729,0.44255,1.12771,1.10229,1.31644,0.00979397,0.00979397,0.00979397
4,1661.05,1.21121,1.05295,1.32108,0.75128,0.71537,0.76193,0.51486,1.04641,0.95699,1.22282,0.009703,0.009703,0.009703
5,2072.77,1.18691,0.96737,1.29906,0.82705,0.81139,0.84769,0.56292,0.99502,0.80488,1.20755,0.009604,0.009604,0.009604
6,2483.36,1.16091,0.93265,1.29178,0.83154,0.7915,0.8449,0.58338,0.95535,0.76389,1.16786,0.009505,0.009505,0.009505
7,2895.14,1.1343,0.88759,1.27663,0.82727,0.78657,0.83446,0.56392,1.00418,0.76492,1.20133,0.009406,0.009406,0.009406
8,3307.11,1.12089,0.85248,1.25599,0.87386,0.81194,0.8879,0.60495,0.93726,0.70895,1.17864,0.009307,0.009307,0.009307
9,3716.29,1.11235,0.84075,1.25116,0.83791,0.80285,0.86749,0.58288,0.99761,0.77101,1.18462,0.009208,0.009208,0.009208
10,4123.95,1.09174,0.80098,1.23378,0.88828,0.82464,0.90136,0.62588,0.90806,0.66201,1.1315,0.009109,0.009109,0.009109
11,4532.38,1.10292,0.8089,1.23565,0.8749,0.87549,0.91281,0.6356,0.91268,0.62892,1.13953,0.00901,0.00901,0.00901
12,4940.9,1.06353,0.76149,1.22426,0.91322,0.82189,0.90734,0.64338,0.91124,0.61437,1.11854,0.008911,0.008911,0.008911
13,5350.93,1.04376,0.73284,1.21406,0.91482,0.8525,0.91263,0.65843,0.90576,0.59607,1.1214,0.008812,0.008812,0.008812
14,5760.55,1.03249,0.72493,1.20152,0.86479,0.88383,0.91005,0.65209,0.89311,0.58939,1.11515,0.008713,0.008713,0.008713
15,6167.06,1.02571,0.71522,1.19712,0.90476,0.85606,0.91866,0.65168,0.87459,0.56974,1.10421,0.008614,0.008614,0.008614
16,6576.46,1.01315,0.69275,1.18342,0.90224,0.87572,0.92145,0.67206,0.85127,0.55605,1.09715,0.008515,0.008515,0.008515
17,6988.76,1.03337,0.69959,1.19728,0.89065,0.87326,0.91055,0.66027,0.85513,0.56903,1.10056,0.008416,0.008416,0.008416
18,7397.56,1.00101,0.67325,1.17983,0.89928,0.88439,0.92694,0.67771,0.83759,0.52698,1.09056,0.008317,0.008317,0.008317
19,7807.93,1.0061,0.66794,1.1826,0.90843,0.89481,0.93488,0.6854,0.84577,0.53816,1.07646,0.008218,0.008218,0.008218
20,8219.31,0.99415,0.65637,1.16718,0.91897,0.88329,0.94366,0.68373,0.84999,0.53039,1.0866,0.008119,0.008119,0.008119
21,8628.74,0.98042,0.6463,1.15663,0.89897,0.89667,0.93022,0.68209,0.83405,0.51119,1.06508,0.00802,0.00802,0.00802
22,9038.48,0.97058,0.63139,1.15573,0.89945,0.88351,0.9276,0.68656,0.81506,0.53182,1.0707,0.007921,0.007921,0.007921
23,9447.57,0.98213,0.64111,1.16158,0.91433,0.87327,0.92609,0.67686,0.84214,0.51251,1.08813,0.007822,0.007822,0.007822
24,9857.19,0.95429,0.625,1.14136,0.90036,0.88507,0.93225,0.6912,0.8146,0.50217,1.07137,0.007723,0.007723,0.007723
25,10268.6,0.95029,0.61924,1.13745,0.93403,0.89481,0.94267,0.70196,0.81487,0.48745,1.05663,0.007624,0.007624,0.007624
26,10676.8,0.94288,0.58861,1.12316,0.91408,0.88289,0.93456,0.69208,0.81789,0.48508,1.07725,0.007525,0.007525,0.007525
27,11085.9,0.92551,0.5894,1.12615,0.93247,0.89363,0.93912,0.69699,0.82325,0.47078,1.08253,0.007426,0.007426,0.007426
28,11496.3,0.91051,0.57486,1.11648,0.9082,0.91012,0.92975,0.69423,0.81189,0.49089,1.06134,0.007327,0.007327,0.007327
29,11904,0.91769,0.5785,1.11516,0.91973,0.90949,0.94736,0.70365,0.82748,0.46665,1.08697,0.007228,0.007228,0.007228
30,12315,0.9097,0.57963,1.11973,0.92447,0.91904,0.94487,0.70786,0.79758,0.46196,1.05552,0.007129,0.007129,0.007129
31,12724.9,0.89037,0.56289,1.10468,0.92778,0.90323,0.94167,0.70407,0.79681,0.47067,1.06198,0.00703,0.00703,0.00703
32,13133.9,0.9023,0.55562,1.10163,0.93286,0.90687,0.94902,0.70666,0.80998,0.44525,1.07678,0.006931,0.006931,0.006931
33,13543.8,0.88022,0.54811,1.10281,0.91863,0.89899,0.95178,0.7167,0.78994,0.45097,1.04564,0.006832,0.006832,0.006832
34,13954.4,0.87062,0.54911,1.09881,0.93088,0.90555,0.94961,0.71002,0.80248,0.44673,1.06698,0.006733,0.006733,0.006733
35,14365.7,0.8788,0.53559,1.09798,0.91205,0.92007,0.95041,0.71395,0.80382,0.45288,1.06036,0.006634,0.006634,0.006634
36,14775.3,0.86916,0.53096,1.08512,0.95376,0.92148,0.95831,0.71137,0.80321,0.45004,1.04947,0.006535,0.006535,0.006535
37,15186.8,0.86774,0.53367,1.09974,0.93222,0.90749,0.95106,0.71942,0.78977,0.43306,1.05256,0.006436,0.006436,0.006436
38,15597,0.86256,0.53365,1.08108,0.93003,0.92655,0.95897,0.72381,0.80041,0.43505,1.06269,0.006337,0.006337,0.006337
39,16005.3,0.85715,0.51538,1.07894,0.93857,0.91806,0.9598,0.71533,0.78386,0.43106,1.05127,0.006238,0.006238,0.006238
40,16413.2,0.84161,0.51692,1.07903,0.93269,0.91415,0.95456,0.71343,0.79927,0.43013,1.06173,0.006139,0.006139,0.006139
41,16822.3,0.83019,0.50291,1.07881,0.94446,0.91867,0.95481,0.72542,0.77761,0.42224,1.05164,0.00604,0.00604,0.00604
42,17229.3,0.83213,0.49671,1.06766,0.92607,0.9328,0.95721,0.72263,0.78509,0.41925,1.05966,0.005941,0.005941,0.005941
43,17639.8,0.82945,0.50329,1.07517,0.91998,0.93421,0.95718,0.72196,0.79278,0.41831,1.07068,0.005842,0.005842,0.005842
44,18049.2,0.82021,0.49702,1.06833,0.92594,0.92426,0.94846,0.72367,0.79175,0.4215,1.06323,0.005743,0.005743,0.005743
45,18457.8,0.82286,0.49237,1.06603,0.9434,0.91653,0.95368,0.73685,0.78064,0.41993,1.05808,0.005644,0.005644,0.005644
46,18868.2,0.8056,0.48804,1.05144,0.92232,0.90976,0.95033,0.72453,0.78823,0.41208,1.06371,0.005545,0.005545,0.005545
