epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2848.99,0.64115,0.86748,0.90953,0.93297,0.86253,0.92506,0.6903,0.48027,0.35959,0.7831,0.0019878,0.000662602,0.0019878,0.000662602,0.0019878,0.000662602,0.0019878,0.000662602
2,5049.38,0.53928,0.34136,0.86205,0.9497,0.89199,0.93564,0.72557,0.46728,0.27341,0.77973,0.00394833,0.00131611,0.00394833,0.00131611,0.00394833,0.00131611,0.00394833,0.00131611
3,6770.37,0.52591,0.32026,0.85664,0.94485,0.91614,0.95089,0.73998,0.49337,0.27126,0.78353,0.00586925,0.00195642,0.00586925,0.00195642,0.00586925,0.00195642,0.00586925,0.00195642
4,8665.87,0.52735,0.31962,0.84912,0.95005,0.91874,0.95354,0.72672,0.51879,0.28183,0.78644,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,10969.7,0.51276,0.30532,0.85106,0.95467,0.92304,0.95612,0.74959,0.48503,0.2621,0.78513,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,12488.3,0.4989,0.29511,0.84512,0.9607,0.92304,0.95824,0.75153,0.4947,0.2682,0.78606,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,14075.2,0.49579,0.29629,0.84474,0.95571,0.92304,0.95594,0.75167,0.48747,0.26086,0.78447,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,15951.1,0.49401,0.2909,0.84448,0.94921,0.92887,0.95636,0.75676,0.46495,0.25812,0.77828,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,17826.3,0.48777,0.28659,0.84593,0.95551,0.93259,0.96317,0.76969,0.45643,0.25248,0.78084,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,19676.8,0.47798,0.28368,0.84338,0.95428,0.93418,0.96098,0.75688,0.4849,0.26106,0.78429,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,21234.6,0.46547,0.27618,0.84154,0.95569,0.92941,0.96146,0.7736,0.45033,0.2509,0.77874,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,22851.4,0.46992,0.27145,0.83914,0.95516,0.92723,0.95896,0.77491,0.45064,0.24641,0.77673,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,24367.5,0.46512,0.27077,0.84038,0.96378,0.92622,0.96615,0.77479,0.44992,0.24549,0.77628,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,25892.8,0.45619,0.26833,0.84257,0.95544,0.93329,0.96589,0.77394,0.4552,0.24965,0.77718,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,27407.8,0.46414,0.26781,0.84019,0.95483,0.93128,0.96096,0.77082,0.4602,0.25415,0.77666,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,29751.5,0.46562,0.26705,0.83705,0.9586,0.93418,0.96623,0.77957,0.45134,0.24452,0.77246,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,31586.1,0.45094,0.2626,0.83881,0.95457,0.93681,0.96497,0.77598,0.44782,0.24404,0.77417,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,33101,0.4487,0.26213,0.83724,0.96442,0.92073,0.96515,0.78336,0.4396,0.242,0.77441,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,35818.6,0.45081,0.25762,0.83765,0.95365,0.9283,0.9602,0.77758,0.44285,0.23763,0.77228,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,38733.4,0.43877,0.25397,0.83264,0.96466,0.92727,0.96347,0.78756,0.43148,0.23049,0.77239,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,41272.3,0.43596,0.25392,0.83575,0.9653,0.93029,0.96288,0.78252,0.43198,0.23397,0.77098,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,42769.7,0.42765,0.24824,0.83336,0.96981,0.93047,0.969,0.77502,0.44697,0.23841,0.77163,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,44276.9,0.43556,0.2502,0.83462,0.95478,0.9413,0.9696,0.77768,0.44923,0.23946,0.77279,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,45848.3,0.43419,0.25208,0.83347,0.95208,0.93864,0.96768,0.78051,0.44704,0.2362,0.7747,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,47713.7,0.42457,0.24507,0.83361,0.9649,0.93153,0.96494,0.78201,0.45223,0.23411,0.77819,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,49336.1,0.42979,0.24651,0.83261,0.95815,0.93584,0.96772,0.77786,0.44709,0.23123,0.77068,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,50828.8,0.41836,0.23957,0.83064,0.96378,0.93471,0.96465,0.77676,0.4551,0.23454,0.77238,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,52318.3,0.41914,0.24143,0.83033,0.96368,0.93684,0.96986,0.78684,0.43159,0.22585,0.76703,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,53808.8,0.41791,0.24133,0.83349,0.95952,0.9311,0.96382,0.78921,0.42435,0.22468,0.76774,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,55297.5,0.41753,0.23758,0.82903,0.96322,0.93471,0.96425,0.77469,0.4533,0.23412,0.7746,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,56786.3,0.41802,0.23835,0.83106,0.9596,0.93896,0.96718,0.78807,0.42907,0.22459,0.76705,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,58275.1,0.40793,0.23489,0.82564,0.96543,0.92887,0.96625,0.78339,0.43167,0.2289,0.76945,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,59762.3,0.40804,0.23487,0.82775,0.96736,0.93259,0.96818,0.788,0.43621,0.22666,0.77061,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,61250.5,0.41146,0.23368,0.82876,0.96851,0.93045,0.9693,0.79042,0.42918,0.2261,0.7698,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,62739.8,0.3994,0.22794,0.82898,0.95993,0.93631,0.967,0.79542,0.42365,0.22492,0.7684,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,64228.7,0.4068,0.23131,0.82843,0.96181,0.93418,0.96883,0.78431,0.44319,0.22378,0.77197,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,65717.1,0.402,0.22942,0.82746,0.96425,0.93066,0.97108,0.78896,0.43884,0.22152,0.77198,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,67206.6,0.40627,0.22972,0.82844,0.96513,0.93524,0.97019,0.79151,0.42246,0.21897,0.76638,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,68695.4,0.39081,0.22421,0.82462,0.95728,0.9396,0.96943,0.7878,0.43676,0.21873,0.77092,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,70185.6,0.39802,0.2271,0.82538,0.97164,0.92752,0.9689,0.78695,0.42646,0.21807,0.76744,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,71674.5,0.39642,0.22441,0.82281,0.95935,0.93943,0.97017,0.79002,0.42768,0.21794,0.76912,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,73161.7,0.38043,0.21904,0.82465,0.95565,0.94925,0.97154,0.78771,0.43426,0.22183,0.76639,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,74650.1,0.39362,0.22358,0.82423,0.95978,0.93949,0.96954,0.78932,0.43173,0.22016,0.76929,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,76206.4,0.39028,0.2223,0.82303,0.9603,0.9379,0.97074,0.78914,0.42965,0.21556,0.76615,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,78074.5,0.38104,0.21852,0.82043,0.96259,0.92871,0.96606,0.78697,0.4277,0.21624,0.7664,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,79942.2,0.3863,0.22026,0.81985,0.95716,0.94002,0.97112,0.79377,0.43126,0.21828,0.76842,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,81810.8,0.37538,0.21518,0.81942,0.95367,0.94055,0.96998,0.79081,0.43223,0.21616,0.76779,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,83679.7,0.37746,0.2177,0.82152,0.95732,0.94058,0.96695,0.79325,0.41598,0.21382,0.76514,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,85547.6,0.37903,0.21463,0.82208,0.95274,0.94851,0.97203,0.79107,0.42684,0.21427,0.76703,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,87416.4,0.37589,0.21369,0.82088,0.962,0.9407,0.97056,0.79321,0.42189,0.20951,0.76591,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,89283.9,0.37746,0.21445,0.81947,0.96038,0.93918,0.97001,0.79234,0.4235,0.21402,0.76561,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,93027.4,0.37701,0.21399,0.82246,0.95946,0.9448,0.97284,0.7952,0.42215,0.20851,0.76508,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
